T,TM,Tm,SLP,H,W,V,VM,PM2.5
26.7,33.0,20.0,1012.4,60.0,5.1,4.4,13.0,284.79583333333335
29.1,35.0,20.5,1011.9,49.0,5.8,5.2,14.8,219.72083333333333
28.4,36.0,21.0,1011.3,46.0,5.3,5.7,11.1,182.1875
25.9,32.0,20.0,1011.8,56.0,6.1,6.9,11.1,154.03750000000005
24.8,31.1,20.6,1013.6,58.0,4.8,8.3,11.1,223.20833333333331
24.3,30.5,18.8,1014.1,49.0,5.3,7.6,14.8,200.64583333333337
24.9,33.0,10.0,1014.3,27.0,5.3,5.4,14.8,285.225
24.6,34.1,11.0,1013.7,31.0,5.0,3.9,11.1,236.825
25.7,34.1,12.0,1013.9,34.0,6.1,5.9,13.0,276.90833333333336
23.7,30.4,17.0,1015.8,46.0,5.1,5.2,14.8,108.0
23.6,31.0,14.0,1015.1,42.0,5.1,6.3,22.2,107.625
24.1,30.4,14.0,1015.0,43.0,5.3,6.5,13.0,125.89166666666668
25.2,31.0,19.0,1015.4,48.0,4.7,11.1,16.5,181.01250000000005
25.9,31.0,18.4,1015.5,45.0,6.4,7.2,14.8,152.55416666666667
25.2,31.0,19.0,1014.8,49.0,5.0,8.7,16.5,152.32083333333338
23.6,29.0,17.0,1014.9,54.0,4.7,5.9,16.5,319.7375
23.3,29.0,17.0,1015.4,51.0,5.0,7.0,16.5,332.7083333333333
22.1,28.4,14.0,1014.0,55.0,4.7,5.0,13.0,279.6
24.2,31.0,15.0,1014.2,45.0,5.3,5.4,16.5,179.11666666666667
27.0,33.0,19.0,1011.7,47.0,5.5,6.7,14.8,54.79166666666666
24.7,32.6,19.0,1011.7,45.0,6.0,8.0,13.0,93.375
24.8,30.0,19.0,1012.2,54.0,5.3,10.6,16.5,103.0
27.3,32.0,20.0,1012.1,40.0,5.3,6.3,16.5,132.20833333333334
26.9,32.4,17.0,1011.7,32.0,5.8,9.1,16.5,127.70833333333331
27.0,34.0,20.0,1009.6,49.0,5.8,9.3,14.8,109.33333333333331
24.9,33.0,14.0,1012.0,36.0,6.1,4.3,14.8,56.45833333333334
26.0,33.0,19.0,1012.5,52.0,5.3,7.6,13.0,135.83333333333334
26.9,32.0,20.6,1013.8,52.0,5.8,6.9,14.8,122.5
28.4,35.0,17.0,1013.7,36.0,6.3,6.1,14.8,69.66666666666667
28.4,35.0,18.0,1013.5,32.0,5.8,5.6,14.8,79.83333333333333
28.6,37.0,17.0,1013.3,29.0,5.0,5.6,11.1,62.70833333333334
29.1,36.0,19.4,1012.8,26.0,6.0,6.5,16.5,21.20833333333333
28.7,35.0,19.0,1013.8,21.0,6.4,8.9,18.3,1.9166666666666667
29.2,36.0,17.4,1013.5,15.0,6.3,10.2,22.2,1.8333333333333333
29.9,36.0,21.0,1013.2,36.0,6.1,9.1,16.5,105.83333333333331
29.7,35.0,21.0,1013.6,35.0,6.0,6.7,14.8,117.58333333333331
31.6,37.0,21.1,1011.8,28.0,6.0,7.6,14.8,122.70833333333331
31.7,39.0,24.6,1010.0,25.0,6.3,9.1,18.3,111.95833333333331
31.9,38.0,23.5,1010.5,25.0,5.8,9.4,16.5,59.20833333333334
30.4,37.0,22.0,1011.0,27.0,5.6,9.6,16.5,77.20833333333333
30.3,37.0,22.8,1008.4,37.0,5.1,9.6,16.5,98.70833333333331
31.5,39.0,23.9,1010.0,30.0,6.1,8.9,20.6,123.70833333333331
33.2,40.0,23.0,1008.1,26.0,6.4,6.1,11.1,64.79166666666667
33.2,41.0,24.0,1007.1,25.0,6.1,6.9,14.8,52.33333333333334
33.8,41.0,22.0,1006.4,26.0,6.0,6.1,13.0,52.04166666666666
34.4,42.0,26.0,1006.8,27.0,6.4,8.1,18.3,128.33333333333334
32.8,39.0,26.0,1006.6,41.0,5.6,7.0,77.8,0.0
33.8,41.0,26.6,1006.9,37.0,6.8,9.3,18.3,23.20833333333333
27.7,38.4,21.4,1009.2,60.0,5.0,11.3,18.3,15.166666666666664
30.7,38.0,20.2,1009.1,46.0,5.1,4.1,37.0,21.25
34.8,42.0,22.0,1005.6,31.0,6.3,5.4,16.5,81.83333333333333
34.1,40.0,27.0,1007.2,40.0,6.1,6.9,14.8,105.33333333333331
33.2,40.0,25.0,1007.6,41.0,5.6,6.9,14.8,117.75
33.7,41.0,25.0,1009.1,30.0,7.2,7.4,14.8,84.5
31.8,39.0,24.0,1009.9,42.0,5.6,11.3,24.1,46.91666666666666
33.3,41.0,26.0,1005.9,44.0,5.8,4.6,16.5,104.625
34.4,40.1,27.0,1002.6,21.0,6.9,12.0,22.2,110.875
31.7,39.0,23.8,1005.1,26.0,5.1,11.9,20.6,42.95833333333334
29.8,37.1,23.0,1007.1,43.0,5.5,8.1,24.1,0.0
31.9,37.0,26.0,1008.9,49.0,6.1,7.6,29.4,120.875
31.8,40.0,23.2,1009.2,42.0,5.3,4.3,11.1,79.91666666666667
37.4,44.0,27.0,1004.4,21.0,7.1,6.3,14.8,94.75
37.7,43.0,27.9,1002.6,22.0,7.4,6.5,22.2,142.5
36.2,43.0,29.0,1001.2,21.0,6.1,8.9,16.5,133.375
36.2,44.0,27.2,1003.0,36.0,6.8,7.0,13.0,147.83333333333334
35.6,43.0,29.2,1003.3,37.0,6.3,4.3,13.0,158.29166666666666
36.8,43.0,27.6,1003.2,25.0,6.9,10.2,25.9,149.58333333333334
36.6,43.0,25.9,1001.3,21.0,6.8,7.2,18.3,101.5
35.9,42.0,28.0,999.5,21.0,7.2,6.5,18.3,106.5
34.7,42.7,29.2,1002.6,33.0,6.6,8.9,20.6,101.95833333333331
37.0,43.0,29.0,1003.1,24.0,7.2,8.7,22.2,98.41666666666669
35.9,43.0,29.0,1002.1,28.0,7.6,13.3,27.8,94.375
36.9,42.4,29.1,1002.2,22.0,6.9,13.1,25.9,107.625
35.4,41.0,29.7,1002.6,26.0,7.1,12.0,27.8,110.41666666666669
32.6,40.4,28.4,1004.0,41.0,7.4,10.7,18.3,95.83333333333331
